maint_id,repair_date,technician_name,repair_cost,resource_id
102,2026-01-28,Isabella Silva,40,71
103,2025-09-07,Hans Schmidt,6,74
104,2025-08-20,Yuki Tanaka,32,16
105,2026-03-25,Ahmed Hassan,99,82
106,2025-10-09,Liam O'Connor,50,72
107,2025-12-01,Robert Chen,67,66
108,2026-04-07,Yuki Tanaka,98,76
109,2026-01-27,Lars Nielsen,88,74
110,2026-01-25,Liam O'Connor,75,20
111,2025-12-25,David Smirnov,97,6
112,2025-09-20,Hans Schmidt,61,64
113,2025-05-25,Ahmed Hassan,80,23
114,2025-10-19,Lars Nielsen,83,13
115,2026-01-24,Sarah Jenkins,53,44
116,2025-09-30,Sarah Jenkins,67,18
117,2025-05-21,Ahmed Hassan,20,95
118,2025-12-09,David Smirnov,40,34
119,2025-09-02,Hans Schmidt,51,43
120,2026-01-20,Elena Rossi,98,8
121,2025-11-20,Fatima Al-Zahra,80,49
122,2026-03-21,Ahmed Hassan,36,84
123,2025-05-21,David Smirnov,47,41
124,2026-01-31,Ahmed Hassan,18,72
125,2025-12-30,Marcus Washington,23,50
126,2026-01-26,Chloe Dubois,90,68
127,2025-10-01,Yuki Tanaka,37,52
128,2025-05-19,Ahmed Hassan,18,28
129,2026-02-13,Ahmed Hassan,16,79
130,2025-12-10,Fatima Al-Zahra,67,33
131,2026-01-11,James Miller,14,29
132,2025-05-09,Hans Schmidt,16,16
133,2026-02-05,Elena Rossi,52,15
134,2025-08-11,Maria Garcia,21,33
135,2025-08-10,Fatima Al-Zahra,51,1
136,2025-12-05,Hans Schmidt,60,61
137,2025-10-03,Isabella Silva,15,78
138,2026-01-08,Ahmed Hassan,87,8
139,2025-08-24,Maria Garcia,30,12
140,2026-03-09,Sarah Jenkins,17,11
141,2026-04-02,Robert Chen,34,2
142,2025-08-17,James Miller,70,19
143,2025-08-26,Chloe Dubois,100,61
144,2025-06-16,Maria Garcia,33,46
145,2026-02-18,Maria Garcia,89,86
146,2025-07-24,Ahmed Hassan,58,64
147,2025-11-13,Elena Rossi,89,82
148,2025-04-13,Marcus Washington,93,11
149,2025-11-13,Fatima Al-Zahra,29,48
150,2025-07-02,David Smirnov,36,13
151,2025-08-22,Liam O'Connor,37,5
152,2025-10-25,David Smirnov,49,37
153,2026-01-24,Ahmed Hassan,8,78
154,2026-01-11,Isabella Silva,81,99
155,2026-01-05,James Miller,95,39
156,2026-02-02,Fatima Al-Zahra,86,80
157,2025-06-08,Maria Garcia,31,33
158,2025-07-29,Elena Rossi,53,33
159,2025-05-02,Elena Rossi,87,28
160,2025-06-05,Fatima Al-Zahra,15,23
161,2025-06-28,Isabella Silva,29,60
162,2025-07-14,Liam O'Connor,7,36
163,2025-10-21,David Smirnov,99,81
164,2026-02-22,Liam O'Connor,51,82
165,2025-08-15,Hans Schmidt,22,23
166,2025-05-06,Elena Rossi,97,20
167,2025-07-19,Ahmed Hassan,91,15
168,2025-09-18,Maria Garcia,82,20
169,2025-07-26,Sarah Jenkins,1,32
170,2025-09-04,Chloe Dubois,86,38
171,2025-06-02,Maria Garcia,16,14
172,2026-03-05,Chloe Dubois,62,5
173,2026-03-05,Liam O'Connor,22,85
174,2026-02-23,David Smirnov,59,45
175,2025-10-12,Hans Schmidt,72,30
176,2025-11-10,Lars Nielsen,7,75
177,2025-11-09,Fatima Al-Zahra,62,94
178,2025-08-20,Sarah Jenkins,81,65
179,2025-07-12,Maria Garcia,54,51
180,2025-12-26,Elena Rossi,91,70
181,2025-07-20,Lars Nielsen,12,48
182,2025-06-02,Ahmed Hassan,3,91
183,2026-03-12,Sarah Jenkins,85,28
184,2025-05-20,Robert Chen,1,74
185,2025-10-21,Maria Garcia,26,97
186,2025-11-07,Maria Garcia,57,98
187,2026-01-31,Isabella Silva,60,47
188,2025-07-27,Marcus Washington,42,68
189,2025-09-27,Sarah Jenkins,30,32
190,2025-07-31,Maria Garcia,13,99
191,2025-10-18,Marcus Washington,82,2
192,2025-06-27,Chloe Dubois,6,48
193,2026-03-27,Marcus Washington,63,80
194,2025-06-23,Maria Garcia,70,11
195,2025-07-16,Lars Nielsen,49,62
196,2025-08-03,David Smirnov,24,5
197,2026-01-29,Liam O'Connor,57,35
198,2026-02-09,Liam O'Connor,73,78
199,2025-10-22,Marcus Washington,84,44
200,2026-02-01,Lars Nielsen,2,1
201,2025-05-14,Liam O'Connor,43,65
202,2025-10-08,Ahmed Hassan,91,92
203,2025-05-25,Robert Chen,65,72
204,2026-03-24,David Smirnov,28,88
205,2025-07-09,Elena Rossi,54,68
206,2025-04-21,Maria Garcia,62,9
207,2026-03-18,Robert Chen,3,28
208,2025-09-25,Lars Nielsen,41,42
209,2025-11-11,Sarah Jenkins,20,56
210,2025-07-14,Isabella Silva,62,34
211,2026-02-25,Hans Schmidt,50,58
212,2025-06-25,Ahmed Hassan,14,4
213,2025-10-12,Robert Chen,22,33
214,2025-09-04,Sarah Jenkins,66,73
215,2025-05-27,Maria Garcia,99,50
216,2025-06-03,Marcus Washington,42,63
217,2025-08-29,Chloe Dubois,22,15
218,2026-01-05,Fatima Al-Zahra,51,77
219,2026-01-30,David Smirnov,99,73
220,2025-10-12,Liam O'Connor,98,53
221,2025-07-19,Maria Garcia,9,53
222,2025-04-25,Chloe Dubois,82,83
223,2025-07-04,Ahmed Hassan,55,22
224,2025-08-03,Hans Schmidt,83,84
225,2025-04-27,Isabella Silva,59,80
226,2025-09-04,Lars Nielsen,82,22
227,2025-12-07,Lars Nielsen,17,29
228,2026-02-13,Hans Schmidt,63,40
229,2026-03-07,Robert Chen,76,52
230,2025-09-20,David Smirnov,58,8
231,2026-03-20,Marcus Washington,42,19
232,2025-11-29,Hans Schmidt,26,36
233,2025-12-24,Isabella Silva,50,97
234,2025-12-17,Isabella Silva,32,37
235,2026-03-22,Hans Schmidt,35,3
236,2025-07-21,Yuki Tanaka,34,28
237,2025-06-28,Maria Garcia,17,98
238,2025-06-09,Isabella Silva,6,95
239,2025-07-12,Yuki Tanaka,27,25
240,2025-09-25,Maria Garcia,12,26
241,2025-05-31,Elena Rossi,64,72
242,2025-07-19,Chloe Dubois,93,91
243,2026-03-05,Liam O'Connor,18,25
244,2025-11-23,Hans Schmidt,51,63
245,2025-08-19,Ahmed Hassan,52,30
246,2025-11-18,Sarah Jenkins,27,73
247,2026-03-29,Elena Rossi,87,61
248,2026-03-31,Ahmed Hassan,43,54
249,2025-10-14,Marcus Washington,44,18
250,2025-06-17,Marcus Washington,91,5
251,2025-06-10,Yuki Tanaka,28,21
252,2025-11-05,Liam O'Connor,98,16
253,2026-04-08,Hans Schmidt,75,18
254,2025-08-16,Chloe Dubois,93,28
255,2025-12-13,Liam O'Connor,26,91
256,2025-07-09,Ahmed Hassan,91,70
257,2025-07-11,Robert Chen,47,37
258,2025-11-30,David Smirnov,26,42
259,2025-08-11,Chloe Dubois,61,65
260,2025-08-15,Yuki Tanaka,44,9
261,2025-12-11,Robert Chen,78,27
262,2026-01-04,Sarah Jenkins,26,9
263,2025-10-09,Marcus Washington,76,57
264,2025-09-27,Sarah Jenkins,34,43
265,2025-10-11,Robert Chen,24,26
266,2025-11-05,David Smirnov,84,45
267,2025-11-16,Chloe Dubois,41,40
268,2025-07-28,Marcus Washington,95,91
269,2025-04-22,Ahmed Hassan,81,17
270,2026-03-11,Maria Garcia,96,14
271,2026-03-15,David Smirnov,56,70
272,2026-03-03,Liam O'Connor,26,75
273,2025-10-09,Chloe Dubois,28,87
274,2025-11-01,Isabella Silva,80,4
275,2025-09-29,Chloe Dubois,78,54
276,2025-07-05,Yuki Tanaka,57,45
277,2026-01-10,Robert Chen,28,76
278,2025-05-31,Fatima Al-Zahra,78,23
279,2025-05-13,Hans Schmidt,47,67
280,2025-12-05,Robert Chen,51,43
281,2026-02-04,Chloe Dubois,84,38
282,2026-03-02,Lars Nielsen,87,84
283,2026-03-03,Marcus Washington,24,4
284,2026-02-05,Chloe Dubois,93,1
285,2026-02-20,Lars Nielsen,92,42
286,2026-03-21,Yuki Tanaka,60,26
287,2025-05-09,Chloe Dubois,37,84
288,2025-07-31,Lars Nielsen,75,15
289,2025-07-22,James Miller,59,18
290,2025-12-11,Liam O'Connor,5,10
291,2025-09-14,Liam O'Connor,42,6
292,2025-11-13,Ahmed Hassan,99,38
293,2026-03-28,Sarah Jenkins,75,27
294,2025-10-07,Liam O'Connor,85,48
295,2025-04-22,Lars Nielsen,60,79
296,2026-01-31,Isabella Silva,69,48
297,2025-06-03,Lars Nielsen,67,91
298,2025-04-11,Sarah Jenkins,62,84
299,2025-10-29,Maria Garcia,42,90
300,2025-04-19,Chloe Dubois,33,70
301,2025-08-23,Yuki Tanaka,16,11
302,2025-11-25,Yuki Tanaka,1,49
303,2025-06-09,Yuki Tanaka,16,2
304,2025-11-07,Robert Chen,28,54
305,2025-11-04,Marcus Washington,48,70
306,2025-04-26,Marcus Washington,69,68
307,2025-05-22,Marcus Washington,57,4
308,2026-04-03,Marcus Washington,13,21
309,2025-06-05,Fatima Al-Zahra,91,88
310,2025-11-19,Elena Rossi,66,92
311,2025-09-11,Elena Rossi,66,1
312,2025-06-13,Robert Chen,72,13
313,2025-11-25,Maria Garcia,30,97
314,2025-04-26,Fatima Al-Zahra,96,46
315,2025-07-13,Chloe Dubois,4,1
316,2026-04-05,Lars Nielsen,7,42
317,2026-01-25,Fatima Al-Zahra,79,21
318,2025-05-15,James Miller,41,26
319,2025-06-29,Robert Chen,65,74
320,2025-04-09,Maria Garcia,19,58
321,2025-05-16,James Miller,48,63
322,2026-03-09,Robert Chen,14,93
323,2025-08-17,Yuki Tanaka,15,73
324,2025-07-05,Ahmed Hassan,95,15
325,2025-06-17,Fatima Al-Zahra,54,31
326,2025-05-31,Liam O'Connor,52,33
327,2025-08-01,Marcus Washington,56,98
328,2025-06-12,Isabella Silva,75,18
329,2025-10-13,Robert Chen,57,41
330,2025-12-27,Elena Rossi,7,60
331,2025-12-30,Elena Rossi,20,21
332,2026-03-20,David Smirnov,52,90
333,2025-08-11,Elena Rossi,84,72
334,2026-03-21,Fatima Al-Zahra,21,68
335,2026-01-03,Maria Garcia,86,83
336,2025-06-24,Liam O'Connor,27,71
337,2026-02-28,James Miller,75,32
338,2025-05-25,Maria Garcia,10,78
339,2025-10-05,Lars Nielsen,48,21
340,2025-12-13,James Miller,9,77
341,2026-03-04,Hans Schmidt,66,93
342,2025-07-11,Chloe Dubois,27,18
343,2026-02-27,Liam O'Connor,6,60
344,2025-08-14,Sarah Jenkins,77,77
345,2025-06-27,James Miller,99,85
346,2025-06-22,Ahmed Hassan,58,35
347,2025-10-21,Hans Schmidt,29,45
348,2025-07-04,Lars Nielsen,69,68
349,2026-02-26,Chloe Dubois,54,86
350,2026-03-14,Sarah Jenkins,52,81
351,2026-02-16,Chloe Dubois,81,12
352,2025-07-01,Hans Schmidt,36,78
353,2025-10-17,Fatima Al-Zahra,65,96
354,2025-10-01,Isabella Silva,34,89
355,2026-01-23,Yuki Tanaka,15,83
356,2025-09-27,Sarah Jenkins,2,91
357,2025-10-24,Isabella Silva,11,28
358,2026-02-05,Lars Nielsen,20,41
359,2026-01-06,Marcus Washington,99,32
360,2025-11-02,Yuki Tanaka,19,25
361,2025-06-05,Marcus Washington,40,50
362,2026-01-04,Sarah Jenkins,98,11
363,2025-04-28,James Miller,16,38
364,2026-02-02,Yuki Tanaka,11,89
365,2025-08-11,David Smirnov,19,73
366,2025-09-29,Robert Chen,58,79
367,2025-12-10,Lars Nielsen,81,19
368,2026-03-25,Hans Schmidt,2,12
369,2025-11-06,Lars Nielsen,93,55
370,2025-08-20,Marcus Washington,15,64
371,2026-03-28,Sarah Jenkins,69,93
372,2026-01-01,Isabella Silva,77,51
373,2025-12-05,Maria Garcia,13,50
374,2025-09-20,James Miller,28,91
375,2025-07-02,Robert Chen,62,72
376,2025-12-23,Liam O'Connor,34,32
377,2025-07-26,Fatima Al-Zahra,26,25
378,2025-11-19,Hans Schmidt,71,38
379,2025-11-29,Ahmed Hassan,61,52
380,2026-02-09,Marcus Washington,17,5
381,2025-04-16,Elena Rossi,8,30
382,2025-04-15,Liam O'Connor,67,79
383,2025-08-12,Isabella Silva,4,38
384,2025-04-24,Yuki Tanaka,6,60
385,2025-07-23,Maria Garcia,73,83
386,2025-08-23,James Miller,63,1
387,2025-11-01,Liam O'Connor,20,44
388,2025-12-23,Maria Garcia,45,24
389,2025-10-20,Liam O'Connor,66,94
390,2025-08-29,Lars Nielsen,67,20
391,2025-07-14,Yuki Tanaka,47,65
392,2026-01-22,Yuki Tanaka,78,56
393,2025-10-29,Maria Garcia,44,28
394,2025-08-21,Marcus Washington,39,18
395,2026-03-23,Isabella Silva,68,22
396,2025-05-24,Chloe Dubois,47,7
397,2026-02-12,Sarah Jenkins,40,11
398,2025-10-25,David Smirnov,38,59
399,2026-02-13,Hans Schmidt,9,9
400,2025-04-25,Isabella Silva,79,57
401,2025-09-29,Sarah Jenkins,76,48
402,2026-04-01,Hans Schmidt,98,37
403,2025-11-09,Ahmed Hassan,4,11
404,2025-06-23,Fatima Al-Zahra,63,46
405,2025-12-01,Liam O'Connor,29,54
406,2025-08-23,Lars Nielsen,59,37
407,2026-02-18,Marcus Washington,62,22
408,2025-07-31,David Smirnov,93,68
409,2026-03-20,Ahmed Hassan,2,2
410,2025-08-17,Chloe Dubois,9,6
411,2025-08-07,Chloe Dubois,9,33
412,2025-11-13,Marcus Washington,76,19
413,2025-12-14,Marcus Washington,55,75
414,2025-12-25,James Miller,22,84
415,2025-04-15,Maria Garcia,23,4
416,2025-11-05,Ahmed Hassan,58,4
417,2025-07-29,Liam O'Connor,65,64
418,2025-10-30,Fatima Al-Zahra,3,46
419,2025-12-29,Sarah Jenkins,2,18
420,2025-05-06,Robert Chen,63,46
421,2026-01-23,Ahmed Hassan,13,89
422,2025-08-24,Ahmed Hassan,92,98
423,2025-10-29,Elena Rossi,17,59
424,2025-11-22,David Smirnov,86,26
425,2025-08-21,Ahmed Hassan,16,76
426,2026-02-18,Elena Rossi,82,54
427,2026-01-13,Marcus Washington,94,23
428,2025-05-26,Isabella Silva,63,25
429,2025-10-02,Chloe Dubois,38,60
430,2026-01-25,Elena Rossi,80,92
431,2025-08-31,Marcus Washington,53,88
432,2025-11-11,Lars Nielsen,20,62
433,2025-09-24,Marcus Washington,6,76
434,2026-03-08,Isabella Silva,93,7
435,2025-08-07,Robert Chen,94,31
436,2025-10-15,Liam O'Connor,34,70
437,2025-12-03,Maria Garcia,11,99
438,2025-09-23,Lars Nielsen,2,51
439,2025-08-29,Chloe Dubois,47,99
440,2026-02-20,Fatima Al-Zahra,63,38
441,2025-10-10,James Miller,57,97
442,2026-01-23,Isabella Silva,74,42
443,2026-02-15,Fatima Al-Zahra,13,80
444,2025-11-13,Maria Garcia,4,68
445,2025-05-29,Hans Schmidt,54,22
446,2025-08-01,Robert Chen,33,11
447,2025-10-15,Ahmed Hassan,99,18
448,2025-09-05,Elena Rossi,100,24
449,2025-11-23,Sarah Jenkins,39,2
450,2025-11-12,Hans Schmidt,52,16
451,2025-06-17,Isabella Silva,18,76
452,2026-01-26,Chloe Dubois,80,60
453,2025-08-24,Marcus Washington,16,63
454,2025-10-09,Isabella Silva,98,18
455,2026-03-28,James Miller,54,80
456,2025-09-27,Hans Schmidt,71,88
457,2025-05-25,Robert Chen,94,39
458,2025-08-10,Elena Rossi,32,4
459,2026-04-08,Chloe Dubois,77,17
460,2025-12-03,Chloe Dubois,20,2
461,2025-11-14,Hans Schmidt,95,95
462,2025-07-29,Marcus Washington,34,65
463,2025-10-04,Maria Garcia,82,30
464,2025-12-18,Chloe Dubois,91,83
465,2025-08-25,Ahmed Hassan,27,16
466,2025-05-10,Maria Garcia,100,76
467,2025-11-21,David Smirnov,68,77
468,2026-01-05,Lars Nielsen,41,98
469,2025-09-29,Chloe Dubois,40,1
470,2025-07-23,Ahmed Hassan,74,68
471,2025-12-11,James Miller,31,58
472,2025-08-29,Isabella Silva,19,3
473,2025-08-06,Sarah Jenkins,58,79
474,2026-01-18,Isabella Silva,43,1
475,2025-05-07,Ahmed Hassan,50,76
476,2026-02-22,Marcus Washington,75,17
477,2025-09-08,Robert Chen,17,79
478,2025-08-23,Hans Schmidt,24,70
479,2025-06-07,Yuki Tanaka,20,37
480,2025-09-22,Ahmed Hassan,89,90
481,2026-01-18,Chloe Dubois,65,18
482,2025-08-03,James Miller,95,44
483,2026-03-23,Isabella Silva,36,3
484,2026-03-02,Chloe Dubois,39,38
485,2025-08-09,Robert Chen,51,51
486,2025-11-25,Sarah Jenkins,69,75
487,2025-07-28,Ahmed Hassan,24,52
488,2026-03-27,Sarah Jenkins,14,47
489,2025-05-20,Fatima Al-Zahra,46,17
490,2025-11-25,Fatima Al-Zahra,16,70
491,2026-01-04,Robert Chen,73,89
492,2026-02-01,Ahmed Hassan,66,8
493,2025-11-23,Hans Schmidt,44,46
494,2025-09-18,Ahmed Hassan,47,97
495,2025-12-12,Elena Rossi,96,27
496,2025-07-28,Fatima Al-Zahra,54,100
497,2025-10-17,Liam O'Connor,82,90
498,2025-10-17,Liam O'Connor,79,92
499,2025-06-03,Sarah Jenkins,89,21
500,2026-02-28,Fatima Al-Zahra,20,11
